,Rating,Review
0,4,"Egate Atom 3X | Native FHD 1080p & 4K Support, 13.0 Android Projector | 300 ISO lm (300 lm / 1 Speaker / Wireless / Remote Controller) Projector(White)4309 Ratings&34 ReviewsSpecial price₹7,390₹21,99066% offi"
1,4,"Available offersBank Offer10% instant discount on SBI Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&CBank Offer5% cashback on Axis Bank Flipkart Debit Card up to ₹750T&CBank Offer5% cashback on Flipkart SBI Credit Card upto ₹4,000 per calendar quarterT&CSpecial PriceGet extra 7% offT&CView 10 more offers"
2,5,"Bank Offer10% instant discount on SBI Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&CBank Offer5% cashback on Axis Bank Flipkart Debit Card up to ₹750T&CBank Offer5% cashback on Flipkart SBI Credit Card upto ₹4,000 per calendar quarterT&CSpecial PriceGet extra 7% offT&CView 10 more offers"
3,5,"Bank Offer10% instant discount on SBI Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&CBank Offer5% cashback on Axis Bank Flipkart Debit Card up to ₹750T&CBank Offer5% cashback on Flipkart SBI Credit Card upto ₹4,000 per calendar quarterT&CSpecial PriceGet extra 7% offT&C"
4,5,Special PriceGet extra 7% offT&C
